frame = 1	 simulation time = 0000000	 ego_vehicle speed = 10.0000	 ego_vehicle location = 0.00000000	 next light status = 70green
frame = 2	 simulation time = 0.02000	 ego_vehicle speed = 10.1580	 ego_vehicle location = 0.20316000	 next light status = 70green
frame = 3	 simulation time = 0.04000	 ego_vehicle speed = 10.3160	 ego_vehicle location = 0.40948000	 next light status = 70green
frame = 4	 simulation time = 0.06000	 ego_vehicle speed = 10.4740	 ego_vehicle location = 0.61896000	 next light status = 70green
frame = 5	 simulation time = 0.08000	 ego_vehicle speed = 10.6320	 ego_vehicle location = 0.83160000	 next light status = 70green
frame = 6	 simulation time = 0.10000	 ego_vehicle speed = 10.7900	 ego_vehicle location = 1.04740000	 next light status = 70green
frame = 7	 simulation time = 0.12000	 ego_vehicle speed = 10.9480	 ego_vehicle location = 1.26636000	 next light status = 70green
frame = 8	 simulation time = 0.14000	 ego_vehicle speed = 11.1060	 ego_vehicle location = 1.48848000	 next light status = 70green
frame = 9	 simulation time = 0.16000	 ego_vehicle speed = 11.2640	 ego_vehicle location = 1.71376000	 next light status = 70green
frame = 10	 simulation time = 0.18000	 ego_vehicle speed = 11.4220	 ego_vehicle location = 1.94220000	 next light status = 70green
frame = 11	 simulation time = 0.20000	 ego_vehicle speed = 11.5800	 ego_vehicle location = 2.17380000	 next light status = 70green
frame = 12	 simulation time = 0.22000	 ego_vehicle speed = 11.7380	 ego_vehicle location = 2.40856000	 next light status = 70green
frame = 13	 simulation time = 0.24000	 ego_vehicle speed = 11.8960	 ego_vehicle location = 2.64648000	 next light status = 70green
frame = 14	 simulation time = 0.26000	 ego_vehicle speed = 12.0540	 ego_vehicle location = 2.88756000	 next light status = 70green
frame = 15	 simulation time = 0.28000	 ego_vehicle speed = 12.2120	 ego_vehicle location = 3.13180000	 next light status = 70green
frame = 16	 simulation time = 0.30000	 ego_vehicle speed = 12.3700	 ego_vehicle location = 3.37920000	 next light status = 70green
frame = 17	 simulation time = 0.32000	 ego_vehicle speed = 12.5280	 ego_vehicle location = 3.62976000	 next light status = 70green
frame = 18	 simulation time = 0.34000	 ego_vehicle speed = 12.6860	 ego_vehicle location = 3.88348000	 next light status = 70green
frame = 19	 simulation time = 0.36000	 ego_vehicle speed = 12.8440	 ego_vehicle location = 4.14036000	 next light status = 70green
frame = 20	 simulation time = 0.38000	 ego_vehicle speed = 13.0020	 ego_vehicle location = 4.40040000	 next light status = 70green
frame = 21	 simulation time = 0.40000	 ego_vehicle speed = 13.1600	 ego_vehicle location = 4.66360000	 next light status = 70green
frame = 22	 simulation time = 0.42000	 ego_vehicle speed = 13.3180	 ego_vehicle location = 4.92996000	 next light status = 70green
frame = 23	 simulation time = 0.44000	 ego_vehicle speed = 13.4760	 ego_vehicle location = 5.19948000	 next light status = 70green
frame = 24	 simulation time = 0.46000	 ego_vehicle speed = 13.6340	 ego_vehicle location = 5.47216000	 next light status = 70green
frame = 25	 simulation time = 0.48000	 ego_vehicle speed = 13.7920	 ego_vehicle location = 5.74800000	 next light status = 70green
frame = 26	 simulation time = 0.50000	 ego_vehicle speed = 13.9500	 ego_vehicle location = 6.02700000	 next light status = 70green
frame = 27	 simulation time = 0.52000	 ego_vehicle speed = 14.1080	 ego_vehicle location = 6.30916000	 next light status = 70green
frame = 28	 simulation time = 0.54000	 ego_vehicle speed = 14.2660	 ego_vehicle location = 6.59448000	 next light status = 70green
frame = 29	 simulation time = 0.56000	 ego_vehicle speed = 14.4240	 ego_vehicle location = 6.88296000	 next light status = 70green
frame = 30	 simulation time = 0.58000	 ego_vehicle speed = 14.5820	 ego_vehicle location = 7.17460000	 next light status = 70green
frame = 31	 simulation time = 0.60000	 ego_vehicle speed = 14.7400	 ego_vehicle location = 7.46940000	 next light status = 70green
frame = 32	 simulation time = 0.62000	 ego_vehicle speed = 14.8980	 ego_vehicle location = 7.76736000	 next light status = 70green
frame = 33	 simulation time = 0.64000	 ego_vehicle speed = 15.0560	 ego_vehicle location = 8.06848000	 next light status = 70green
frame = 34	 simulation time = 0.66000	 ego_vehicle speed = 15.2140	 ego_vehicle location = 8.37276000	 next light status = 70green
frame = 35	 simulation time = 0.68000	 ego_vehicle speed = 15.3720	 ego_vehicle location = 8.68020000	 next light status = 70green
frame = 36	 simulation time = 0.70000	 ego_vehicle speed = 15.5300	 ego_vehicle location = 8.99080000	 next light status = 70green
frame = 37	 simulation time = 0.72000	 ego_vehicle speed = 15.6880	 ego_vehicle location = 9.30456000	 next light status = 70green
frame = 38	 simulation time = 0.74000	 ego_vehicle speed = 15.8460	 ego_vehicle location = 9.62148000	 next light status = 70green
frame = 39	 simulation time = 0.76000	 ego_vehicle speed = 16.0040	 ego_vehicle location = 9.94156000	 next light status = 70green
frame = 40	 simulation time = 0.78000	 ego_vehicle speed = 16.1620	 ego_vehicle location = 10.2648000	 next light status = 70green
frame = 41	 simulation time = 0.80000	 ego_vehicle speed = 16.3200	 ego_vehicle location = 10.5912000	 next light status = 70green
frame = 42	 simulation time = 0.82000	 ego_vehicle speed = 16.4780	 ego_vehicle location = 10.9207600	 next light status = 70green
frame = 43	 simulation time = 0.84000	 ego_vehicle speed = 16.6360	 ego_vehicle location = 11.2534800	 next light status = 70green
frame = 44	 simulation time = 0.86000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 11.5868140	 next light status = 70green
frame = 45	 simulation time = 0.88000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 11.9201480	 next light status = 70green
frame = 46	 simulation time = 0.90000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 12.2534820	 next light status = 70green
frame = 47	 simulation time = 0.92000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 12.5868160	 next light status = 70green
frame = 48	 simulation time = 0.94000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 12.9201500	 next light status = 70green
frame = 49	 simulation time = 0.96000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 13.2534840	 next light status = 70green
frame = 50	 simulation time = 0.98000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 13.5868180	 next light status = 70green
frame = 51	 simulation time = 1.00000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 13.9201520	 next light status = 70green
frame = 52	 simulation time = 1.02000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 14.2534860	 next light status = 69green
frame = 53	 simulation time = 1.04000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 14.5868200	 next light status = 69green
frame = 54	 simulation time = 1.06000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 14.9201540	 next light status = 69green
frame = 55	 simulation time = 1.08000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 15.2534880	 next light status = 69green
frame = 56	 simulation time = 1.10000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 15.5868220	 next light status = 69green
frame = 57	 simulation time = 1.12000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 15.9201560	 next light status = 69green
frame = 58	 simulation time = 1.14000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 16.2534900	 next light status = 69green
frame = 59	 simulation time = 1.16000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 16.5868240	 next light status = 69green
frame = 60	 simulation time = 1.18000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 16.9201580	 next light status = 69green
frame = 61	 simulation time = 1.20000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 17.2534920	 next light status = 69green
frame = 62	 simulation time = 1.22000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 17.5868260	 next light status = 69green
frame = 63	 simulation time = 1.24000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 17.9201600	 next light status = 69green
frame = 64	 simulation time = 1.26000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 18.2534940	 next light status = 69green
frame = 65	 simulation time = 1.28000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 18.5868280	 next light status = 69green
frame = 66	 simulation time = 1.30000	 ego_vehicle speed = 16.6667	 ego_vehicle location = 18.9201620	 next light status = 69green
